Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,AMZN,AMZN,AMZN,AMZN,AMZN,,,
2022-11-08,2022,11,8,Tuesday,45,2022-45,90.79,91.72,88.23,89.98,88703400,-0.006075283660437414,104.08285714285714,115.9272
2022-11-09,2022,11,9,Wednesday,45,2022-45,89.47,89.48,85.87,86.14,90796200,-0.042676192754212194,102.00357142857142,115.0754
2022-11-10,2022,11,10,Thursday,45,2022-45,92.94,98.69,91.65,96.63,173414900,0.12177847617944293,100.38285714285713,114.4726
2022-11-11,2022,11,11,Friday,45,2022-45,97.88,101.19,96.66,100.79,111590500,0.0430508514990382,99.02357142857143,113.932
2022-11-14,2022,11,14,Monday,46,2022-46,98.77,100.12,97.29,98.49,99533100,-0.022819754250081425,97.4442857142857,113.3516
2022-11-15,2022,11,15,Tuesday,46,2022-46,103.21,103.79,97.34,98.94,111336300,0.004569038353104293,96.25,112.8082
2022-11-16,2022,11,16,Wednesday,46,2022-46,96.85,98.49,95.54,97.12,87958800,-0.018394983322363,95.26142857142858,112.16099999999999
2022-11-17,2022,11,17,Thursday,46,2022-46,95.37,96.97,94.03,94.85,82617900,-0.02337318995330062,94.64999999999999,111.4616
2022-11-18,2022,11,18,Friday,46,2022-46,95.95,95.99,92.48,94.14,72428200,-0.007485493894513584,94.05714285714286,110.67900000000002
2022-11-21,2022,11,21,Monday,47,2022-47,93.97,95.02,90.59,92.46,84330300,-0.017845764989037338,93.74785714285713,109.7992
2022-11-22,2022,11,22,Tuesday,47,2022-47,92.62,93.35,90.87,93.2,62192000,0.008003437930963697,93.825,109.1268
2022-11-23,2022,11,23,Wednesday,47,2022-47,93.24,94.58,92.83,94.13,59414700,0.009978544373689724,94.17,108.4384
2022-11-25,2022,11,25,Friday,47,2022-47,93.79,94.43,93.07,93.41,35088600,-0.0076489282090407285,94.34357142857142,107.781
2022-11-28,2022,11,28,Monday,48,2022-48,93.93,96.4,93.43,93.95,74943100,0.00578089353348199,94.58785714285715,107.1894
2022-11-29,2022,11,29,Tuesday,48,2022-48,94.04,94.41,91.44,92.42,65567300,-0.016285245651894598,94.76214285714286,106.54459999999999
2022-11-30,2022,11,30,Wednesday,48,2022-48,92.47,96.54,91.53,96.54,102805800,0.04457912603558589,95.505,106.0316
2022-12-01,2022,12,1,Thursday,48,2022-48,96.99,97.23,94.92,95.5,68488000,-0.010772746070691896,95.42428571428572,105.5708
2022-12-02,2022,12,2,Friday,48,2022-48,94.48,95.36,93.78,94.13,72496400,-0.01434557849824114,94.94857142857144,105.10719999999999
2022-12-05,2022,12,5,Monday,49,2022-49,93.05,94.06,90.82,91.01,71535500,-0.033145598727553405,94.41428571428573,104.65180000000001
2022-12-06,2022,12,6,Tuesday,49,2022-49,90.5,91.04,87.9,88.25,75503600,-0.03032636052572657,93.6507142857143,104.11380000000001
2022-12-07,2022,12,7,Wednesday,49,2022-49,88.34,89.89,87.48,88.46,68086900,0.0023795930251859776,93.03214285714284,103.59480000000002
2022-12-08,2022,12,8,Thursday,49,2022-49,89.24,90.86,87.88,90.35,73305900,0.021365582288144003,92.71071428571429,103.0416
2022-12-09,2022,12,9,Friday,49,2022-49,88.9,90.3,88.63,89.09,67398500,-0.01394579034322141,92.35,102.5274
2022-12-12,2022,12,12,Monday,50,2022-50,89.21,90.58,87.87,90.55,61999800,0.01638799835988136,92.21357142857143,102.0784
2022-12-13,2022,12,13,Tuesday,50,2022-50,95.23,96.25,90.52,92.49,100212000,0.02142456926150338,92.16285714285713,101.61059999999999
2022-12-14,2022,12,14,Wednesday,50,2022-50,92.5,93.46,89.87,91.58,70298000,-0.009838858835905628,91.98071428571428,101.0204
2022-12-15,2022,12,15,Thursday,50,2022-50,89.89,89.97,87.47,88.45,84802900,-0.034177820705733164,91.62642857142858,100.37039999999999
